epdenserewmean,eplenmean,eprewmean,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
-1039.3377609499998,193.64,-669.3377609500001,0.0034695247,0.021080017,8.42762,-0.0018338537,4892.7153,-0.002547025680541992,1,8192,50.46609559300123,65536
-1018.2189792100002,193.45,-1098.2189792100003,0.003431798,0.02344513,8.367045,-0.0026753878,4568.3003,-0.0057866573333740234,2,16384,103.20254651700088,131072
-1046.8806427000002,199.65,-1056.8806427000002,0.0034541602,0.023256937,8.308126,-0.002998511,4516.387,-0.0021638870239257812,3,24576,158.05530347500462,196608
-1230.87707055,233.28,-1340.87707055,0.0037617476,0.027618408,8.243451,-0.0033044398,4845.8374,-0.0020760297775268555,4,32768,215.8390440200019,262144
-877.6597316400001,181.18,-897.6597316400001,0.003899633,0.030263266,8.174266,-0.0034533811,4385.264,0.0053768157958984375,5,40960,269.03503769000235,327680
-914.09132031,186.34,-704.0913203099999,0.0034231637,0.025238037,8.141587,-0.0030235306,4349.9644,0.01291513442993164,6,49152,316.680817160006,393216
-1015.2865072899999,208.05,-715.2865072900001,0.00337749,0.025904337,8.111695,-0.0031164146,4797.995,0.011166691780090332,7,57344,364.6818416660026,458752
-898.6361008200001,191.63,-768.6361008200001,0.0036000202,0.02771759,8.0907545,-0.002968843,4260.597,0.011747419834136963,8,65536,414.2571209920061,524288
-1058.9008087,202.74,-1088.9008086999997,0.003606866,0.028745016,8.045282,-0.003475451,4538.849,0.011675775051116943,9,73728,462.3813434600015,589824
-1079.09073558,215.67,-1309.09073558,0.0035778228,0.027860006,8.004538,-0.0033765072,4270.8516,0.015674471855163574,10,81920,510.7061449200046,655360
-1097.4497165700002,211.16,-1177.4497165700002,0.003567758,0.028406778,7.955187,-0.0033980024,4377.118,0.035034120082855225,11,90112,559.2107069020058,720896
-846.91263163,179.29,-956.9126316300001,0.0031693045,0.021657309,7.9050756,-0.0027898494,4392.4414,0.041808366775512695,12,98304,607.2640087710024,786432
-978.65436551,201.74,-858.65436551,0.0031620038,0.024246216,7.873257,-0.0027786102,4383.4585,0.041507840156555176,13,106496,655.8880428880002,851968
-801.6861330500001,168.84,-511.68613305000014,0.0034105706,0.025817871,7.824976,-0.002775804,3967.2463,0.05344516038894653,14,114688,704.730469631002,917504
-1063.50556837,194.59,-733.50556837,0.0030626499,0.02204132,7.7830825,-0.0028211782,4177.2397,0.057451725006103516,15,122880,752.5374175080069,983040
-832.6904511300002,184.2,-712.6904511300003,0.0029279564,0.019180298,7.7409573,-0.0026700273,3649.9854,0.05418598651885986,16,131072,800.5459229020053,1048576
-1060.1531674,200.73,-930.1531674000001,0.002678476,0.017720541,7.7001843,-0.0027664274,4136.515,0.06509625911712646,17,139264,848.924703636003,1114112
-1242.55819013,230.35,-1022.5581901300002,0.0025545196,0.014826457,7.652743,-0.0023265725,4354.356,0.07243937253952026,18,147456,897.2536378130026,1179648
-1012.3469585099999,206.65,-972.3469585099999,0.0028957352,0.018056234,7.587997,-0.002888975,3916.0742,0.10796993970870972,19,155648,945.5010758720018,1245184
-1069.57854763,204.37,-969.5785476300001,0.0030006657,0.01797994,7.526378,-0.002458304,3945.545,0.10276544094085693,20,163840,994.1080686800051,1310720
-1188.8333944800002,220.09,-1138.83339448,0.0021639892,0.0113169355,7.4911103,-0.0017508669,4054.121,0.12163770198822021,21,172032,1042.2055771290034,1376256
-979.0266162799999,187.62,-319.02661628,0.0027102595,0.01692454,7.442089,-0.0027839271,4456.163,0.1293514370918274,22,180224,1090.4761172310027,1441792
-1130.97130402,218.94,-830.9713040199999,0.002353701,0.012041728,7.387268,-0.0023599651,4240.303,0.1410374641418457,23,188416,1138.3584113100005,1507328
-1093.05244131,223.56,-1003.05244131,0.0023912692,0.015645346,7.341219,-0.002439902,4232.425,0.13782793283462524,24,196608,1186.6921699170052,1572864
-895.2621723399998,186.49,-585.26217234,0.0023643184,0.012631734,7.298387,-0.002576108,3806.2783,0.1542954444885254,25,204800,1234.8651059320036,1638400
-971.6159684099999,207.77,-741.6159684099999,0.002314723,0.011388143,7.280826,-0.0020126507,3914.1843,0.1556892991065979,26,212992,1282.535632859006,1703936
-1195.15209125,230.42,-1105.15209125,0.0025930025,0.014984131,7.2578225,-0.0025515074,4101.3584,0.1873980164527893,27,221184,1331.2975098030001,1769472
-1171.85603949,233.05,-861.85603949,0.0024215353,0.014328003,7.2350945,-0.0025548227,4109.3364,0.18114513158798218,28,229376,1379.2486169610056,1835008
-981.9176806699999,201.45,-801.91768067,0.0023947277,0.012090047,7.2017517,-0.002216009,3631.1436,0.23306691646575928,29,237568,1426.7752557610002,1900544
-965.23183596,201.1,-1125.2318359600001,0.0024643124,0.013938904,7.163727,-0.0023716479,3721.889,0.2433178424835205,30,245760,1474.8057586610012,1966080
